,care.vice,care.virtue,fairness.vice,fairness.virtue,loyalty.vice,loyalty.virtue,authority.vice,authority.virtue,sanctity.vice,sanctity.virtue
misogyny,0.2222222222222222,0.0,0.3684210526315789,0.0,0.2352941176470588,0.0,0.25,0.0,0.3043478260869565,0.0
hitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05882352941176471,0.0,0.25
executives,0.0925925925925926,0.0,0.0,0.0,0.078125,0.0,0.10294117647058824,0.0,0.0425531914893617,0.0
wrote,0.021680216802168018,0.0,0.032786885245901634,0.0,0.0,0.050420168067226885,0.03215434083601286,0.0,0.032786885245901634,0.0
sector,0.06666666666666668,0.0,0.0,0.08433734939759037,0.0,0.09278350515463918,0.1,0.0,0.0,0.06666666666666668
enemies,0.21052631578947367,0.0,0.1320754716981132,0.0,0.19230769230769232,0.0,0.17307692307692307,0.0,0.20634920634920634,0.0
trying,0.14950166112956811,0.0,0.1501597444089457,0.0,0.1377245508982036,0.0,0.1316614420062696,0.0,0.1183206106870229,0.0
infrastructure,0.0,0.10714285714285714,0.0,0.10526315789473684,0.0,0.08695652173913042,0.0,0.1111111111111111,0.04651162790697674,0.0
professionals,0.09090909090909093,0.0,0.045454545454545456,0.0,0.1176470588235294,0.0,0.13513513513513514,0.0,0.0,0.05
look,0.0847457627118644,0.0,0.0,0.05705705705705705,0.0,0.06984126984126984,0.08303249097472924,0.0,0.0,0.07342657342657342
apply,0.0,0.08333333333333333,0.0,0.2368421052631579,0.12,0.0,0.32142857142857145,0.0,0.07142857142857142,0.0
methods,0.0,0.06451612903225806,0.14814814814814814,0.0,0.0,0.18421052631578946,0.10810810810810813,0.0,0.05555555555555555,0.0
consistently,0.12,0.0,0.12,0.0,0.1724137931034483,0.0,0.2352941176470588,0.0,0.17391304347826084,0.0
needed,0.0,0.16279069767441862,0.11235955056179776,0.0,0.0,0.06547619047619048,0.11494252873563217,0.0,0.05882352941176471,0.0
temporarily,0.11428571428571427,0.0,0.1388888888888889,0.0,0.2,0.0,0.13333333333333333,0.0,0.20689655172413796,0.0
bilateral,0.0,0.07142857142857142,0.0,0.12903225806451613,0.0,0.1875,0.0,0.09523809523809523,0.0,0.10344827586206896
transfer,0.10526315789473684,0.0,0.0,0.03636363636363636,0.0,0.0,0.12903225806451613,0.0,0.0,0.03389830508474576
parts,0.06428571428571428,0.0,0.0,0.04195804195804196,0.0,0.050955414012738856,0.0547945205479452,0.0,0.05147058823529412,0.0
inner,0.09523809523809523,0.0,0.0,0.0,0.13793103448275862,0.0,0.1282051282051282,0.0,0.1875,0.0
cards,0.125,0.0,0.0,0.15,0.05357142857142857,0.0,0.08,0.0,0.0,0.0
post,0.024822695035460998,0.0,0.05423728813559322,0.0,0.044164037854889586,0.0,0.01954397394136808,0.0,0.027777777777777776,0.0
stations,0.0,0.0,0.0,0.0,0.0,0.1176470588235294,0.11627906976744184,0.0,0.0,0.0
driver,0.1282051282051282,0.0,0.0,0.0,0.054545454545454536,0.0,0.0,0.0,0.09523809523809523,0.0
gain,0.0,0.10344827586206896,0.0,0.08641975308641975,0.0,0.1864406779661017,0.0,0.01694915254237288,0.0,0.09433962264150944
trained,0.29411764705882354,0.0,0.0,0.09090909090909093,0.0,0.18181818181818185,0.0,0.3055555555555556,0.0,0.047619047619047616
chemical,0.29411764705882354,0.0,0.1,0.0,0.21052631578947367,0.0,0.08695652173913042,0.0,0.05555555555555555,0.0
choose,0.0,0.0875,0.0,0.13095238095238096,0.0,0.16853932584269662,0.0,0.14925373134328354,0.0,0.12195121951219512
petition,0.0425531914893617,0.0,0.08163265306122447,0.0,0.0,0.0851063829787234,0.12727272727272726,0.0,0.0,0.0
silent,0.14285714285714285,0.0,0.0,0.04166666666666666,0.21621621621621626,0.0,0.0,0.09090909090909093,0.0,0.0
mark,0.045454545454545456,0.0,0.0,0.0,0.03937007874015748,0.0,0.022556390977443608,0.0,0.0,0.0
dangerous,0.21052631578947367,0.0,0.11486486486486487,0.0,0.1005586592178771,0.0,0.17901234567901236,0.0,0.08904109589041095,0.0
destroying,0.2727272727272727,0.0,0.28,0.0,0.15384615384615385,0.0,0.05555555555555555,0.0,0.2,0.0
dying,0.2727272727272727,0.0,0.05882352941176471,0.0,0.11428571428571427,0.0,0.2222222222222222,0.0,0.2272727272727273,0.0
relations,0.0,0.13658536585365855,0.0,0.06818181818181818,0.0,0.10989010989010987,0.0,0.1021505376344086,0.0,0.07303370786516854
recognition,0.0,0.14634146341463414,0.0,0.075,0.0,0.13157894736842105,0.0,0.075,0.0,0.09523809523809523
joining,0.0,0.0625,0.0,0.0,0.0,0.21052631578947367,0.0,0.0784313725490196,0.15,0.0
extent,0.19047619047619047,0.0,0.0,0.1836734693877551,0.0,0.04444444444444445,0.0,0.1176470588235294,0.06666666666666668,0.0
diplomats,0.04477611940298507,0.0,0.0,0.04225352112676056,0.0,0.0875,0.1320754716981132,0.0,0.0,0.0
park,0.0,0.03508771929824561,0.0,0.014705882352941175,0.0,0.011194029850746268,0.0,0.005747126436781609,0.0,0.0330188679245283
advised,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.0,0.0
estimates,0.1951219512195122,0.0,0.045454545454545456,0.0,0.05660377358490566,0.0,0.022222222222222227,0.0,0.0,0.10344827586206896
participation,0.0,0.125,0.0,0.18181818181818185,0.21052631578947367,0.0,0.0,0.12195121951219512,0.0,0.10714285714285714
tourism,0.1276595744680851,0.0,0.030769230769230767,0.0,0.0,0.05263157894736842,0.03225806451612903,0.0,0.0,0.0
gross,0.2058823529411765,0.0,0.17391304347826084,0.0,0.03448275862068965,0.0,0.125,0.0,0.08,0.0
boycott,0.16666666666666666,0.0,0.14285714285714285,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0
apartment,0.18478260869565216,0.0,0.0,0.06578947368421052,0.0,0.09722222222222222,0.038461538461538464,0.0,0.07575757575757576,0.0
teachers,0.03571428571428571,0.0,0.18421052631578946,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
capabilities,0.1875,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.038461538461538464
sentenced,0.1153846153846154,0.0,0.3235294117647059,0.0,0.07407407407407407,0.0,0.15,0.0,0.021739130434782608,0.0
passionate,0.0,0.12,0.0,0.03225806451612903,0.0,0.2432432432432433,0.0,0.16216216216216214,0.0,0.13636363636363635
widely,0.13541666666666666,0.0,0.10679611650485436,0.0,0.0,0.07207207207207207,0.19626168224299065,0.0,0.17894736842105266,0.0
eyes,0.1044776119402985,0.0,0.1111111111111111,0.0,0.07407407407407407,0.0,0.09090909090909093,0.0,0.04411764705882353,0.0
participants,0.07272727272727272,0.0,0.2033898305084746,0.0,0.13953488372093026,0.0,0.0,0.10416666666666667,0.09375,0.0
industry,0.10232558139534884,0.0,0.047619047619047616,0.0,0.0,0.07792207792207792,0.0,0.04629629629629629,0.1201923076923077,0.0
complicated,0.0,0.0,0.0,0.1206896551724138,0.0,0.0967741935483871,0.0,0.05263157894736842,0.0,0.0
heal,0.0,0.35294117647058826,0.0,0.0,0.0,0.14285714285714285,0.0,0.13636363636363635,0.0,0.0625
support,0.0,0.14751552795031056,0.0,0.10306406685236767,0.0,0.20221606648199447,0.0,0.17611026033690658,0.0,0.07037643207855973
bearing,0.0,0.10344827586206896,0.10810810810810813,0.0,0.0,0.15,0.16129032258064516,0.0,0.0,0.2272727272727273
schools,0.14720812182741114,0.0,0.0,0.07661290322580645,0.0,0.057823129251700675,0.0,0.11450381679389313,0.06870229007633588,0.0
entirely,0.0,0.035294117647058816,0.06493506493506493,0.0,0.16049382716049382,0.0,0.07547169811320754,0.0,0.0,0.08695652173913042
controlled,0.0,0.07462686567164177,0.0,0.1780821917808219,0.09090909090909093,0.0,0.0,0.12658227848101267,0.08333333333333333,0.0
places,0.12598425196850396,0.0,0.0,0.1153846153846154,0.041237113402061855,0.0,0.027777777777777776,0.0,0.20212765957446807,0.0
pregnant,0.20689655172413796,0.0,0.08333333333333333,0.0,0.26666666666666666,0.0,0.06451612903225806,0.0,0.0,0.0
enemy,0.1323529411764706,0.0,0.16666666666666666,0.0,0.12280701754385966,0.0,0.1875,0.0,0.2,0.0
internet,0.14285714285714285,0.0,0.11304347826086955,0.0,0.08247422680412371,0.0,0.125,0.0,0.09195402298850576,0.0
charged,0.19811320754716985,0.0,0.2307692307692308,0.0,0.10256410256410256,0.0,0.11188811188811187,0.0,0.16030534351145034,0.0
expect,0.0,0.05882352941176471,0.06923076923076922,0.0,0.13125,0.0,0.0,0.1020408163265306,0.0,0.038461538461538464
justice,0.0,0.03448275862068965,0.0,0.08627450980392158,0.0,0.0600375234521576,0.0,0.049904030710172735,0.0,0.034623217922606926
uniform,0.0,0.0,0.04,0.0,0.0,0.0,0.08333333333333333,0.0,0.06896551724137931,0.0
repeal,0.0,0.1032258064516129,0.0,0.12432432432432433,0.1201923076923077,0.0,0.12698412698412698,0.0,0.0,0.10795454545454546
commercial,0.0,0.0,0.0,0.05,0.0,0.06349206349206349,0.13636363636363635,0.0,0.0,0.0
proof,0.12903225806451613,0.0,0.2564102564102564,0.0,0.08,0.0,0.1590909090909091,0.0,0.0,0.06451612903225806
exercises,0.2380952380952381,0.0,0.1111111111111111,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.1176470588235294
appearance,0.05,0.0,0.10869565217391304,0.0,0.027777777777777776,0.0,0.05263157894736842,0.0,0.09090909090909093,0.0
roles,0.0,0.03571428571428571,0.0,0.1111111111111111,0.0,0.0,0.0,0.15789473684210525,0.0,0.2857142857142857
circumstances,0.08928571428571429,0.0,0.125,0.0,0.05555555555555555,0.0,0.10416666666666667,0.0,0.08333333333333333,0.0
sources,0.0,0.03787878787878788,0.06896551724137931,0.0,0.0,0.02631578947368421,0.0,0.010416666666666666,0.0,0.061855670103092786
started,0.07253886010362694,0.0,0.052980132450331126,0.0,0.06666666666666668,0.0,0.0913978494623656,0.0,0.05154639175257732,0.0
economies,0.0,0.4,0.0,0.10344827586206896,0.0,0.0,0.0,0.030303030303030307,0.0,0.08333333333333333
union,0.0,0.008438818565400843,0.05230769230769231,0.0,0.0,0.052401746724890834,0.02464788732394366,0.0,0.0,0.01282051282051282
learned,0.04672897196261682,0.0,0.06896551724137931,0.0,0.0,0.06382978723404255,0.024390243902439025,0.0,0.0,0.040404040404040414
saved,0.0,0.2,0.037037037037037035,0.0,0.0,0.18181818181818185,0.0,0.03225806451612903,0.05555555555555555,0.0
abortions,0.18085106382978725,0.0,0.08888888888888889,0.0,0.10606060606060606,0.0,0.0576923076923077,0.0,0.12727272727272726,0.0
defenders,0.0,0.13333333333333333,0.0,0.2272727272727273,0.0,0.2,0.2307692307692308,0.0,0.1,0.0
wife,0.15306122448979592,0.0,0.0,0.07207207207207207,0.072992700729927,0.0,0.05517241379310345,0.0,0.12222222222222222,0.0
violations,0.12280701754385966,0.0,0.2033898305084746,0.0,0.1864406779661017,0.0,0.18181818181818185,0.0,0.19298245614035087,0.0
escaped,0.0,0.08163265306122447,0.12121212121212123,0.0,0.0,0.16666666666666666,0.057142857142857134,0.0,0.0,0.08571428571428573
recommendations,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.037037037037037035
undermine,0.288135593220339,0.0,0.28125,0.0,0.2280701754385965,0.0,0.26666666666666666,0.0,0.14754098360655735,0.0
outstanding,0.0,0.2,0.0,0.2857142857142857,0.0,0.29411764705882354,0.0,0.03571428571428571,0.0,0.10526315789473684
lost,0.11940298507462685,0.0,0.11307420494699645,0.0,0.08812260536398467,0.0,0.08362369337979095,0.0,0.10330578512396696,0.0
